Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-12	13.3	0.0	99	0.0	1.5	10	10.6
2022-09-12	13.3	0.0	99	0.0	2.7	10	238.3
2022-09-12	13.3	0.0	99	0.0	2.9	10	86.4
2022-09-12	13.2	0.0	99	0.0	3.7	10	50.7
2022-09-12	13.1	0.0	99	0.0	2.6	10	83.6
2022-09-12	12.9	0.0	99	0.0	3.1	10	77.0
2022-09-12	12.5	0.0	99	0.0	1.5	10	85.9
2022-09-12	12.3	0.0	99	0.0	4.8	10	33.7
2022-09-13	11.9	0.0	99	0.0	1.5	10	112.0
2022-09-13	11.6	0.0	99	0.0	2.3	10	154.8
2022-09-13	11.6	0.0	99	0.2	1.0	10	59.3
2022-09-13	11.3	0.0	99	0.4	2.1	10	56.0
2022-09-13	11.0	0.0	99	3.0	1.3	10	264.8
2022-09-13	11.1	0.0	99	0.0	2.4	10	22.3
2022-09-13	10.8	0.0	99	0.0	1.5	10	250.2
2022-09-13	10.9	0.0	99	0.0	1.6	10	64.4
2022-09-13	10.8	0.0	100	0.0	2.5	10	71.1
2022-09-13	10.5	0.0	99	0.0	4.1	10	55.3
2022-09-13	10.3	0.0	99	0.0	3.0	10	59.4
2022-09-13	10.0	0.0	99	0.0	1.4	10	326.3
2022-09-13	9.9	0.0	100	0.0	1.8	10	49.9
2022-09-13	9.7	0.0	100	0.0	2.5	10	37.1
2022-09-13	9.7	0.0	100	0.0	2.4	10	50.9
2022-09-13	9.7	0.0	100	0.0	1.4	10	4.8
2022-09-13	9.8	0.0	100	0.0	1.8	10	9.1
2022-09-13	9.6	0.0	100	0.0	2.0	10	32.6
2022-09-13	9.7	0.0	100	0.0	1.5	10	359.8
2022-09-13	9.5	0.0	100	0.0	2.1	10	20.2
2022-09-13	9.1	0.0	100	0.4	0.0	10	170.5
2022-09-13	9.2	0.0	100	0.0	0.9	10	42.2
2022-09-13	9.1	0.0	100	0.0	1.1	10	49.4
2022-09-13	9.0	0.0	100	0.0	0.0	10	113.3
2022-09-13	9.3	1.6	100	0.2	0.6	10	45.6
2022-09-13	9.9	10.9	100	0.0	1.3	10	19.8
2022-09-13	9.6	24.7	100	0.0	0.0	10	352.6
2022-09-13	10.1	42.0	100	0.0	1.4	10	17.2
2022-09-13	10.7	65.1	100	0.0	1.4	10	15.6
2022-09-13	11.2	97.2	100	0.0	1.9	10	72.9
2022-09-13	11.7	130.4	100	0.0	1.7	9	100.7
2022-09-13	12.2	156.3	100	0.0	2.1	7	15.0
2022-09-13	12.8	238.5	100	0.0	4.1	2	263.7
2022-09-13	13.2	264.7	99	0.0	5.8	1	264.8
2022-09-13	13.7	336.9	95	0.0	6.2	0	266.7
2022-09-13	14.3	398.7	90	0.0	8.0	0	216.6
2022-09-13	14.5	315.3	89	0.0	6.9	0	252.1
2022-09-13	14.9	475.5	89	0.0	7.3	0	220.3
2022-09-13	15.8	606.0	83	0.0	6.4	0	133.3
2022-09-13	16.3	627.1	77	0.0	6.9	0	146.7
2022-09-13	16.9	745.7	77	0.0	7.9	0	177.0
2022-09-13	16.6	637.6	78	0.0	10.9	0	215.3
2022-09-13	16.7	551.5	78	0.0	9.5	0	159.1
2022-09-13	17.2	383.8	77	0.0	9.7	0	208.2
2022-09-13	17.2	540.7	76	0.0	9.3	0	207.2
2022-09-13	17.4	413.4	75	0.0	14.0	0	210.3
2022-09-13	17.7	729.4	73	0.0	9.6	0	315.2
2022-09-13	17.4	554.3	74	0.0	10.0	0	304.7
2022-09-13	17.4	653.8	75	0.0	9.0	0	254.3
2022-09-13	18.1	952.6	71	0.0	11.1	0	189.1
2022-09-13	18.2	818.7	70	0.0	10.3	0	185.9
2022-09-13	18.2	657.2	71	0.0	10.3	0	212.4
2022-09-13	18.2	433.4	71	0.0	8.6	0	187.8
2022-09-13	18.6	637.6	72	0.0	7.3	0	201.8
2022-09-13	18.4	306.4	73	0.0	10.1	0	204.0
